	loss	arch	us	ds	us_epochs	us_lr	us_bs	us_wd	ds_epochs	ds_lr	ds_bs	ds_wd	zero	1	5	10	20	full	100	200
156	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	64	1E-05	32	0.1	1.915	2.074	5.904	14.787	33.085	50.213		
157	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	64	1E-05	64	0.1	1.915	1.915	2.287	9.574	24.947	42.819		
158	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	64	1E-05	128	0.1	1.915	1.915	1.915	2.713	15.319	32.447		
159	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	64	3E-05	32	0.1	1.915	2.287	22.287	37.766	51.755	61.702		
160	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	64	3E-05	64	0.1	1.915	1.915	6.968	31.383	47.34	59.894		
161	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	64	3E-05	128	0.1	1.915	1.915	2.287	10.585	41.383	55.798		
162	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	64	0.0001	32	0.1	1.915	3.564	36.862	46.915	56.915	65		
163	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	64	0.0001	64	0.1	1.915	2.234	25.585	44.681	54.415	65		
164	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	64	0.0001	128	0.1	1.915	2.234	8.245	35.745	52.713	63.404		
165	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	128	1E-05	32	0.1	1.915	2.34	15.904	30.957	47.234	59.255		
166	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	128	1E-05	64	0.1	1.915	2.128	9.84	22.872	41.596	55.957		
167	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	128	1E-05	128	0.1	1.915	2.128	2.606	14.096	33.351	49.468		
168	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	128	3E-05	32	0.1	1.915	4.255	33.457	44.787	55.213	63.989		
169	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	128	3E-05	64	0.1	1.915	2.394	27.021	42.394	52.5	62.34		
170	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	128	3E-05	128	0.1	1.915	2.394	10.798	37.074	51.011	61.117		
171	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	128	0.0001	32	0.1	1.915	12.394	39.894	49.255	57.979	65.798		
172	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	128	0.0001	64	0.1	1.915	4.947	37.181	46.596	56.702	65.798		
173	CLIP	RN50	LAION2.7m	DTD	16	0.001	1024	0.1	128	0.0001	128	0.1	1.915	4.894	29.947	47.287	56.064	65.266		
174	CLIP	RN50	LAION2.7m	CIFAR100	16	0.001	1024	0.1	64	1E-05	32	0.1	23.11	26.08	28.24	32.48	38.67	71.39		
175	CLIP	RN50	LAION2.7m	CIFAR100	16	0.001	1024	0.1	64	1E-05	64	0.1	23.1	25.13	27.17	30.97	35.86	68.62		
176	CLIP	RN50	LAION2.7m	CIFAR100	16	0.001	1024	0.1	64	1E-05	128	0.1	23.12	25.35	25.2	29.28	33.08	65.75		
177	CLIP	RN50	LAION2.7m	CIFAR100	16	0.001	1024	0.1	64	3E-05	32	0.1	23.11	26.05	33.64	41.16	48.11	78.89		
178	CLIP	RN50	LAION2.7m	CIFAR100	16	0.001	1024	0.1	64	3E-05	64	0.1	23.1	25.12	31.49	38.84	45.6	76.88		
179	CLIP	RN50	LAION2.7m	CIFAR100	16	0.001	1024	0.1	64	3E-05	128	0.1	23.12	25.33	27.49	35.21	42.71	74.54		
