Dataset(s)	Experiment type	Path	Notes						
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-19-19-12-56							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-20-11-15-24							
									
Redcaps_1m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-18-09-52-26							
Seed 1 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-25-09-42-24							
Seed 2	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-10-03-26-47							
Redcaps_2.7m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-09-12-23-59							
Seed 1									
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-23-06-11-10							
Redcaps_5m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-13-22-45-47							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-09-02-01-07							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-23-06-12-43							
Redcaps_7.5M	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-15-05-44-54
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-25-06-33-25							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-28-22-21-31							
Redcaps_9.6m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-18-23-05-32							
Seed 1		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-24-03-46-56							
Seed 2		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-27-00-25-33							
Redcaps_12m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-13-22-45-13							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-22-18-51-43							
Seed 2	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-26-17-52-29							
									
Shutterstock_1m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-03-20-58-52							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-09-22-49-08							
Seed 2	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-12-00-29-06							
Shutterstock_2.7m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-06-00-07-39							
Seed 1 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-12-02-33-31							
Seed 2 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-12-07-02-53							
